Teensy4,T,,,,Teensy 4.0
Pin,Name,Side,Type,Style,
0,GND,right,pass,,
1,RX1/CRX2,right,io,,
2,TX1/CTX2,right,io,,
3,D2,right,io,,
4,D3,right,io,,
5,D4,right,io,,
6,D5,right,io,,
7,D6,right,io,,
8,RX2,right,io,,
9,TX2,right,io,,
10,D9,right,io,,
11,CS,right,io,,
12,MOSI/CTX1,right,io,,
13,MISO,right,io,,
14,Vbat,top,in,,
15,3V3,top,out,,
16,GND,top,pass,,
17,Program,top,in,,
18,On/Off,top,in,,
19,SCK/CRX1/LED,left,io,,
20,A0/TX3,left,io,,
21,A1/RX3,left,io,,
22,A2/RX4/SCL1,left,io,,
23,A3/TX4/SDA1,left,io,,
24,A4/SDA0,left,io,,
25,A5/SCL0,left,io,,
26,A6/TX5,left,io,,
27,A7/RX5,left,io,,
28,A8/CTX1,left,io,,
29,A9/CRX1,left,io,,
30,3V3,left,out,,
31,GND,left,pass,,
32,Vin,left,in,,
33,Serial,bottom,io,,
